# lang=ro
cat	floor (storey)
sit	archeological site
sat	village
sat	dwelling
sat	field
spin	thorn
stick	-shaped object
strung	lathe
era	: he/she was (being)
box	boxing
box	a kind of sword
box	bovine leather
cement	cementum
act	, deed, action
care	which
care	which, that, who
clean	chub ()
vel	great
vermut	vermouth
fox	fox terrier
ram	branch, bough
biet	poor, unhappy, sad
bir	tribute
nit	rivet
logic	logical
logic	duh; well, duh; of course
list	leaf, page
living	living room
solid	, firm
solid	a solidus
house	house music
salt	saltation
sugar	suckling
sugar	unweaned baby, newborn
sugar	suckling, young mammal that hasn't weaned yet
far	lighthouse
far	beacon
far	car headlight
lift	elevator,
lift	A stroke that gives the ball an upward trajection.
sal	shawl, scarf
augment	increase, growth, augmentation
cute	whetstone
orbit	blinded
empire	Empire
analog	analogue
carburator	carburetor
mare	big, large, great
mare	great, mighty
decorticator	, peeler
price	disagreement, argument
gem	jam (sweet mixture of fruit boiled with sugar)
orient	east, Orient
etcetera	et cetera
suit	climbing
substituent	substitute
franc	a Frank (Germanic tribe)
franc	of a Frank, Frankish
franc	a (currency)
corrigenda	corrigendum
ventripotent	potbellied
antarctic	Antarctic
adult	adult
adult	adult
vociferant	vociferating
locator	letter, lessor (person who lets or hires)
mason	freemason
magician	a whizz,
jeg	dirt, filth
han	inn, caravanserai
latino	Latino music
handling	baggage in the airport
lui	to him
alert	wide-awake
brat	brother
cardinal	principal, essential, fundamental
cornet	cornel grove
excrement	, feces
avid	, eager, desirous
avid	greedy, grasping
fast	splendour, pomp
silicon	silicone
silicon	breast implant
capitol	chapter (section of a book)
hanger	dagger
fier	tool made of iron
tare	hard, tough, solid
tare	strong
tare	loud, strong, powerful
ham	harness
ni	: to us
ni	lo!, look!, behold!
un	a, an
sept	septum
CD	, compact disc
dud	mulberry (tree)
nil	sling
cord	heart
ta	yours (singular)
flor	blond, or with reddish-blond hair
boc	sound of a hammer
cor	choir
cor	gathering, circle, society
miel	cock, penis
lunar	monthly
idea	to invent, to conceive
casa	to annul a court decision
cubic	cubical
tort	thread (spun and made of hemp)
tort	quantity of spun threads
respect	, consideration, deference, esteem, regard
bici	whip, horsewhip, scourge
pară	flame
dam	cowshed
premier	prime minister
fag	beech (tree of genus Fagus)
fag	honeycomb
li	to them
ne	(to) us
accede	to , to reach (a place)
sex	gender,
sex	, sexual intercourse
mobil	mobile
mobil	mobile (phone)
na	here you are! take it!
ar	(he/she) would
ar	(they) would
ca	because
ga	sound made by geese
se	oneself, himself, herself, itself, themselves
se	each other, one another
se	pronoun used with verbs to form the passive voice or middle voice
titan	titanium
tar	unit of measurement for weights
la	at, in
la	to, towards
la	to wash (especially the head)
ho	; whoa.
ac	needle
pu	imits the cry of a hoopoe
pis	call used for cats
tu	you , thou
vier	(un-castrated pig) boar
vier	(male) wild boar
vier	vintager
dator	indebted (to)
dator	obliged (to)
dator	owing money
mus	cabin boy
pe	on (some time during the day of)
alb	white
alb	white
alb	the color white
generic	credits, titles
shop	a small
shop	a hard currency
deduce	to infer,
halal	bravo
secure	axe, hatchet
secure	battle axe, halberd
pagină principală	home page
pop	, pop music
must	unfermented wine; grape or other fruit juice
must	(of grapes)
protestant	Protestant
voi	you (group being addressed)
voi	you (group being addressed)
voi	(I) will
ei	they (used for an all-male or mixed-sex group)
ei	them (all-male or mixed-sex group)
ele	they (for a group composed completely of females)
ele	them (all-female group)
minimum	, modicum
multicolor	multicolored
mania	to handle
net	clear, clear-cut, plain
net	clearly, distinctly
acerb	harsh, unkind
visa	to dream
mate	maths
banal	commonplace
sine	himself, herself, itself, themselves
testa	to test; to try
gnu	, wildebeest
venal	, venous
operator	operating
operator	worker,
pun	Punic, Carthaginian
pisa	to pound, pummel
pisa	to grind
pisa	to bother
vid	empty
vid	void, vacuum
vocalist	vocalist
violon	violone
sel	torrent
sel	ditch
lumen	(SI unit of measurement)
newton	(unit of measure)
pascal	Paschal
insula	: the island
insula	: the island
radius	(bone)
forte	strong, powerful
forte	strongly
insipid	, tasteless
bont	dull, blunt
turn	tower
tern	matte, lackluster, dull
tern	colorless, pale
altar	communion table
altar	chancel
Cluj	Cluj-Napoca,
ser	serum
manual	handbook
tuna	to thunder
tuna	to speak thunderously
mit	myth (story)
horn	chimney
scorpion	scorpion
sort	, kind, variety
plan	plane
plan	planar, flat
front	, front line
melon	bowler hat
da	to give
da	to hit
petrol	petroleum, oil
pentagon	Pentagon
dans	dance
ADN	; DNA
roman	novel, epic
roman	Medieval romance
roman	Roman
antagonist	antagonistic
zenit	zenith
sie	(to) himself/herself/itself/themselves (stressed reflexive-dative form of el, ea, ei and ele)
cot	elbow
cot	corner
cot	a bend of a river
slip	bikini bottom
cornflakes	corn flakes
informatician	computer scientist
ars	burnt
ars	scorched, parched
pater	father (term of address for a Christian priest)
ros	gnawed, eaten away at
ros	eroded, consumed
nix	nixie
mango	mango
curry	curry powder
defunct	deceased
ecologist	environmental
ecologist	environmentalist (the political position).
formula	to formulate
juli	to scratch
porto	port wine
unda	to undulate, wave, make move like a wave
unda	to bubble up, boil, seethe, surge
ager	quick, swift.
ager	smart, cunning, sharp.
ager	sharp
opus	opposite, contrary
opus	reverse
opus	the opposite, contrary
table	backgammon
Venus	(planet)
Venus	(Roman goddess)
via	to have life; to live, exist
via	to endure
clit	heap, pile
liber	free, at liberty
liberator	liberating
brav	brave, courageous
just	, correct
zona	: the zone
zona	: the zone
zona	shingles
top	cotton pack
top	list, chart, ranking
libido	sex drive,
herb	coat of arms
nord	north
nur	sex appeal
batman	batsman
direct	head-on
direct	directly
felon	cape worn by the priest over the liturgical garments
moment	the time, the right
rob	slave
rapid	fast, quick, , swift, speedy, prompt, expeditious
rapid	quickly, rapidly, swiftly, speedily, promptly, expeditiously
desert	dessert
idiot	; moron; imbecile
idiot	stupid; idiotic; foolish; absurd
independent	, self-sufficient
fuga	to banish, expel, drive away, chase off
arma	to prepare a weapon for firing
arma	to arm, equip
arma	to strengthen by adding reinforcement (e.g. armor, a mineshaft, etc.)
unicorn	one-horned
dragon	a flying lizard species
dragon	Draco
canon	tenet, dogma, rule, norm, precept
canon	punishment or penance for breaking such a religious rule
cabra	to rear up (horse)
tom	volume
ovin	ovine
spirit	, ghost
spirit	essence, psyche
spirit	wit, genius
voce	voice
vulnerat	wounded
vulnerare	injury
cart	go-cart
chegar	a bucket in which milk curdles
desire	thickening
portal	, doorway, gateway
hai	let's
luna	: the moon, the month
luce	light
luce	shine
luce	beauty
tor	torus
ecarte	écarté
ren	reindeer
bon	voucher, ticket, coupon
mos	a cup
pagina	to paginate
primus	kerosene stove
maior	major
op	need, necessity
op	work (usually artistic or literary), writing
maniac	maniacal
confident	confidant
stol	flock
stol	swarm
mongol	Mongolian
mongol	Mongolian
neg	wart, verruca
actual	present-day
fante	womanizer
advent	Advent
oca	weight of about three pounds
oca	liquid measure of about three pints
manioc	cassava
vandal	Vandal
nun	the godfather at a wedding
chip	face, likeness
chip	picture, image
gnomon	gnomon
superficial	shallow
boar	cowherd
obez	obese
discord	discordant
discord	disagreement
beli	to skin, flay, excoriate
beli	to rob; to fleece
demon	a despicable person
capră	horse
capră	leap frog
vacă	a fat, lazy, and/or stupid woman
carte	a letter, missive
ecran	screen
tehnologie	technology
barat	barred
film	movie,
kaki	khaki
kaki	khaki
kaki	persimmon
bord	side of a ship's deck
antic	ancient
antic	ancient
step	tap dance
gland	glans
fee	fairy
bantu	Bantu
deci	so, therefore
expert	wizard
reduce	to , to lessen
naval	nautical
sa	: his/her
sa	his/hers (that which is his or hers)
weltanschauung	, worldview
bob	a type of bean, field bean, horse bean, broad bean
bob	a grain
bob	any seed, pit, stone, berry
pendant	match, counterpart
executor	executory
uni	to unite, join
uni	to unite
uni	monochrome
sad	orchard
nap	turnip or swede ()
nap	carrot
vibrare	vibration
LSD	(lysergic acid diethylamide)
minim	minimum
trigon	trigone
cacao	cocoa
caro	diamonds (card suit)
dos	bottom, behind, buttocks
dos	reverse
coda	to code, to encode
stare	status, standing, situation, position, condition
stare	state
nor	cloud
turcesc	Turkish
obor	fair, market
obor	cattle pen
orb	blind
orb	blind man
pane	breaded and fried
ciao	Hello!
ciao	Goodbye!
vagabond	tramp (a homeless person)
depart	departure
inox	stainless steel
marcher	marker, scorer
component	member of a team or other group
distant	, remote
fornica	to fornicate
defect	defective
baptism	a Baptist denomination
whisky	, whiskey
baliza	to put beacons
zum	zoom; a humming sound made by an insect's flight
ostrov	ait (island in a river)
ostrov	island (in general)
slav	Slavic
email	enamel
porno	pornographic
porno	awesome
sever	strict
snob	snobbish
corn	cornel, European cornel,
corn	rafter
complement	complement
cap	cape (headland)
lua	to take
lua	to take (to use up time)
veri	: cousins
veri	: summers
pace	peace
stern	breastbone
closet	toilet, latrine, bathroom
moral	morale, optimism
război	weaving loom
război	to fight a war, to battle
divin	divine
statua	to rule, to determine
media	to mediate
media	to intercede, interpose
colo	there
fin	fine, delicate
fin	subtle
fin	godson
dental	dental
dens	dense
diez	sharp
patron	employer, business owner
sub	under, below, beneath, underneath
asin	ass, donkey
super	superb, great
super	superbly
caos	chaos
fix	fixed
fix	exactly
fix	(precisely) o'clock
aliment	food (any substance consumed by living organisms to sustain life)
palindrom	palindrome
agitator	stirrer
vale	valley
hol	lobby
bun	good, asset, possession
bun	grandfather
frag	woodland strawberry plant,
gata	ready, willing
gata	readily, willingly
anima	to animate
anima	to animate
ungar	Hungarian
data	to date
repent	creeping
alba	dawn, daybreak, sunrise
albatros	albatross
frustra	to frustrate
catapulta	to catapult
student	college
ut	(do) the note 'C'.
lista	to put on a list
lista	to make a list
lista	to print
boire	painting, dyeing
boire	putting on make-up
dormire	sleeping
pirata	to pirate
pirata	to hack (into)
martin	bird of either the starling family, or of the kingfisher family.
sorg	sorghum
por	leek (, syn. )
por	sand leek ()
para	money
para	to parry
bere	(the act of) drinking
zee	goddess
calm	composure (calmness of mind or matter, self-possession)
format	template
fund	bottom
fund	backside; buttocks
fund	chopping board
octet	byte (of eight bits)
flan	baked custard tart
tei	linden tree
din	on, on top of
din	from, out of
gigantic	giant
virus	virus
virus	virus
venenifer	veneniferous
aba	thick woolen baize (usually white), from which country clothing is often made
aba	a garment made of the above
abac	abacus
abac	nomogram
fad	tasteless, flavorless, insipid
mac	poppy
mac	quack
les	thicket
draconic	draconian
cretin	idiot
scelerat	scoundrel
pardon	!, pardon me!, excuse me!, I beg your pardon!, sorry!
pardon	, pardoning, forgiveness, excuse
conform	according to
droga	to drug
premiere	awarding
bu	sound made by an ox
bu	hoot; sound made by an owl
cul	soldier
le	to them (all-male or mixed group)
le	to them (all-female group)
le	them (all-female group)
clou	highlight, climax of a show
incident	incidental
fisc	fiscal administration
guma	to gum
duce	to carry, lead, take
duce	to lead, to go
duce	to go
regn	regnum
lis	smooth
una	: one
telefon	telephone
story	, typically an one
nip	people (as a large group)
transversal	transverse
tren	train
tren	train
occident	west, Occident
occidental	western
odor	smell
odor	treasure
onanism	, masturbation
paternal	, fatherly
par	stake
par	club, bat
par	even; divisible by two
convict	boarding school
personal	personally
blanc	white space
bleu	light blue
bleu	light blue
part	Parthian (relating to Parthia)
avocat	lawyer, attorney, barrister
sec	barren, empty, deserted; also dried up
sec	missing or deficient in something, lacking; also useless
va	(he/she) will
va	(to go), only used in mai va (see usage notes).
va	go (imperative) (plural )
mag	magus (priest in some ancient eastern cultures, like Iranian/Zoroastrian)
mag	one of the three kings or Magi who visited the baby Jesus
mag	by extension, an envoy, messenger, herald, announcer
piper	pepper (plant)
piper	pepper (spice)
lapis	lapis lazuli
sac	sack, bag
avere	assets
avere	wealth
val	earth rampart which served in antiquity as a military stronghold
vara	in the summer
carapace	shell
fur	thief
fotografia	to photograph; to take a photograph
fotograf	a photographer
mat	matte
auriga	charioteer
mier	light blue
rest	change
plat	flat, level, even
plat	level tone, first tone
des	frequent, often
des	abundant, copious
des	dense, thick
elev	student, schoolboy
slut	crippled
pod	bridge
pod	attic
pod	street paved with wood
waterproof	a cloak
bric-à-brac	bric-a-brac shop
buldog	bulldog
cucu	coo-coo
jugular	; pertaining to the neck or throat
costa	to cost
creator	creative
deset	thicket
normal	normally
normal	of course, obviously
adresa	to address
adresa	to refer to, to consult
văr	male cousin
verișoară	female cousin
tot	still
tot	nevertheless, still, anyway
milieu	social origin
milieu	ornamental object made out of lace
poponar	faggot, homosexual, tonic
badian	star anise
vum	vroom
stupid	stupidly
prost	simple, simple-minded
prost	stupid
prost	poor, bad
infidel	unfaithful
loba	to lob
cure	to run
cure	to flow
cure	to drain
porc	pig (mammal of genus Sus), hog, swine
rebate	to retype
rebate	to restrike
bina	building
bina	building under construction
virgin	, that which has not had sexual intercourse, chaste, maiden, virginal
virgin	untouched, clean, stainless, immaculate, pure
fig	fig tree
jar	embers (glowing coal or wood)
jar	intense heat, fire, glow
soft	software
absolut	absolute
absolut	absolutely
acar	one who makes needles
acar	a box with supplies for sewing, including needles, thread, etc.
acar	switchman, pointsman
adet	custom
administrativ	administrative
aeroplan	aeroplane, airplane, plane, aircraft
aeroport	airport
mortal	, deadly
mascara	derision, ridicule, mocking
mascara	clown
ochi	ring in a hob
meteor	(streak of light caused by extraterrestrial matter entering the atmosphere)
autor	author
concatenare	concatenation
tun	cannon
tun	thunderclap
-n	Contracted form of în "in" used after vowel.
-al	; of or pertaining to, forms adjectives from nouns.
-ar	; -er
boiler	water heater
cleft	klepht
-u	used to form surnames
sandarac	, realgar
bea	to drink
masala	torch
maidan	open space, undeveloped land within a city
fabrica	to fabricate, invent
fabrica	to fabricate, manufacture, produce
vedere	sight
vedere	sight
cil	cilium
unguent	ointment
aerare	aeration (the circulation of air)
preface	to pretend
preface	to turn, transform something, respectively oneself
spic	ear, spike
model	a template
ancora	to anchor
superlativ	superlative
colic	colon;
lance	spear,
statism	stasis (state of motionlessness)
savant	scholar, scientist
principal	, primary, chief, foremost
curt	short-tailed
curt	short-tailed animal
pastor	, priest
master	master's degree
rage	to roar
rage	to bray
rage	to roar
opera	to operate
durn	stupid
durn	insane
exist	: I exist
circa	approximately, about, or so
panel	; panelling
plug	plough
elegant	tasteful
detestare	detestation
emolument	profit
semen	fellow human
bor	boron
oi	might
oi	might
pic	a drop (of water)
pic	little
fute	to fuck
fute	to annoy, bug, bother
critic	critical
aspect	, look
hostie	sacrifice, offering
hostie	victim, sacrificial animal
hostie	host, The consecrated bread
autodidact	, self-taught person
poligon	polygon
poligon	shooting range
poligon	driving school track
paragraf	paragraph
alfabet	alphabet
ardent	, fiery, passionate
ardent	that which, through the action of the wind, turns its prow toward the direction from where wind is blowing
adept	follower
adept	disciple
aloe	a substance extracted from the aloe plant
augur	, auspex
augur	augury, omen
avers	obverse
bade	older brother
bade	older man
bade	a hillbilly, a yokel, a bumpkin; a poorly educated man from the countryside
bate	to beat
bate	to beat
bate	to have a fight
baton	bar, stick
bisect	bissextil
blat	sheet, layer
blat	illegal activity, particularly travelling on a train without a ticket.
blat	match fixing
boa	boa constrictor
brad	fir, .
brad	pine tree.
brad	pine wood.
cam	approximately, a little
cam	rather
caret	hawksbill turtle
chit	whale, cetacean
chit	putty
coca	plant
cur	asshole
cur	(to clean)
dor	wistfulness, melancholy, nostalgia, longing; a feeling of missing someone or something
dram	tiny amount
elan	elk, moose ()
eros	(physical love)
fard	make-up
filet	screw thread
floc	, floccule
floc	tuft (of hair)
floc	flock (of wool)
gravid	pregnant (carrying an unborn child)
hamal	porter
idol	pagan divinity
idol	demon
inapt	unfit
levier	lever
lien	spleen
marc	pomace,
megohm	megaohm
mir	chrism
mir	unction
mir	holy oil
mire	bridegroom
mire	soldier
mod	mode, fashion, style, way
mod	mode, mood
mort	dead body, corpse
nan	dwarf
palier	landing
pas	step, pace, footstep, stride
patina	to skate
pica	to fall
pica	to fail, have downtime, be interrupted
pica	to fail an exam
plumb	bullet, projectile
pluton	platoon
pluton	group, peloton
precis	precise, accurate, exact
precis	precisely, accurately, exactly
prim	first
prim	prime
prim	prime
rabat	discount, rebate
radix	a root (of a plant)
rebut	cast-off; scrap, rubbish
rumen	ruddy
sloven	Slovene, Slovenian
sloven	a Slovene/Slovenian person
soma	to summon
sorb	wild service tree ()
sorb	whirlpool
spar	shark
sparge	to break, burst, shatter, snap
sparge	to break in
sparge	to hack
stater	(currency of Ancient Greece)
strop	drop; droplet (of liquid)
strop	a small quantity of something, such as a grain
taler	thaler
tapa	to borrow money without the intention to return it
tibia	, shinbone
tofus	tophus
vie	vineyard
vis	dream; vision
fuse	: he/she has been
bale	slobber, drool, dribble, saliva
biceps	; any two-headed muscle
biceps	the biceps brachii
bombast	bombastic
brace	underwear, undergarments, drawers, unmentionables
chef	(good) disposition, mood
chef	desire, wish
chef	appetite
crucial	pivotal
deck	tape deck
disc	disk,
disc	discus
eminent	notable
exact	, precise
exact	exactly, precisely
except	excepted
fain	cool, fine, of good quality
fatal	fatal
fatal	fatal
fatalist	fatalistic
gang	passageway
grep	grapefruit
lard	bacon
lard	pig-fat
lest	ballast
lot	plot (of land)
lot	batch (of goods for sale)
lot	(at auction)
mall	shopping mall, shopping centre
prosper	prosperous
pugilist	, boxer
rase	{{plural of|ro|rasă
sacrosanct	holy, sacred
saliva	to salivate
site	website
spate	back (anatomy)
spate	back (part, side) of something
spate	shoulder
statistic	, statistical
exorbitant	extortionate
pliant	folding
tacit	unspoken
transcript	transcription
magnetit	magnetite
lament	wailing, moaning, weeping
funda	to found, set a foundation
fir	thread, string, filament, wire
fir	a hair
poetic	, poetical
mai	anymore
caustic	burning, , corrosive
dicționar	dictionary
pil	stick, rod; also, a horsewhip
maculare	staining
cetera	to play the fiddle or violin
cetera	to annoy, bother, importune, molest, trouble
onomatopoetic	onomatopoeic
plutonic	Plutonic
candida	thrush
petulant	exuberant, lively
relevant	distinctive
combatant	fighting
bac	river ferry
addenda	addendum
diacritic	, diacritical
tip	prototype, model
tip	type, style
nova	to novate
eh	expresses dissatisfaction or sadness
diabolic	diabolical
fungi	fungus
pension	boarding school
pederast	homosexual
sta	to stay
sta	to stand
sta	to sit
ducere	going
ducere	leaving, departure
specie	species
specie	kind, type, sort
popular	(of the people)
popular	(well-liked)
avion	aeroplane, airplane
temere	faintheartedness
permanent	permanently
electromagnetic	Electromagnetic.
rebel	, insurgent
preceptor	, private tutor
prompter	teleprompter
sodiu	sodium
cald	scorching, hot- in the same context as words such as
cald	fresh, in the same context as words such as
dexter	dexterous
fel	sort, type, kind
fel	manner, style, way
fel	course of a meal
apela	to appeal
apela	to resort
apela	to call (on the phone)
catalog	catalogue
masculin	masculine, manly
masculin	masculine
idiș	Yiddish
atelier	workshop
dildo	dildo
adolescent	teenager
director	principal
debilitate	debility
circumspect	, cautious, prudent
venire	coming, arrival, return
sceptic	skeptical
paludism	malaria
arctic	Arctic
fi	to be
fi	to feel
fi	to be it in a game of tag
fondant	melting
evident	obvious
pregnant	evident, marked, manifest
androgen	androgenic
motor	engine
motor	motorcycle
dalga	a silk tunic
viola	to violate
viola	to rape
plus	, and
plus	, addition, extra, surplus
post	fast , fasting
post	, position, job, place, appointment, station
poll	vote, election
poll	opinion poll
indigent	destitute
flipper	pinball
raft	shelf
halogen	halogenic
zincare	zinking
ladino	Ladino
ii	to go
roi	swarm
fort	, fortification
carton	cardboard
particular	private
particular	private person
invidia	to envy
altruist	altruistic
durare	building, construction
egoistic	egoistical
egoism	, selfishness
oriental	eastern
abolire	abolition
muri	to die
curb	curve
abdicare	abdication
accelerare	acceleration
basta	enough
cristal	crystal
cristal	crystal
cristal	crystal glassware
telefonare	telephoning
sul	roll, roller
sul	warp beam of a weaving loom
sui	to get in
sui	to mount, climb up
conic	conical
conic	conical
mutual	reciprocal
corner	corner kick,
afon	aphonic
hal	situation or condition, most often a bad one
hal	way (with a negative connotation)
mister	mystery
regal	royal
regal	feast
ananas	pineapple
dedicare	dedication
definire	definition
dotare	endowment
este	: he/she is
accentuare	emphasis
carnal	fleshly
status	state, , condition
pacific	peaceable, peaceful
adorare	worship
sitar	Eurasian woodcock ()
tal	thallus
brun	brown
brun	brown- or dark-haired
oliv	olive
oliv	olive
oliv	olive tree
relief	(difference of elevations on the Earth's surface)
fond	background
fond	content, substance, essence
container	shipping container
adaptor	adapter
genera	to generate
banc	sand bank
baobab	, monkey bread
recipient	container
chemin de fer	(a card game)
vacant	unoccupied
ardere	the process of burning
numen	noumenon
decidere	the act of making a decision
declinare	declension
dap	; yup
solemn	, grave, serious
solemn	impressive, exalted
solemn	festive, celebratory
artefact	artifact
instant	instantly
folk	folk music
bulgară	Bulgarian
dialectic	dialectical
gran	grain
suspect	suspicious, doubtful
imagine	image
vibrator	dildo
metropolitan	metro, subway, underground
nonconformist	, maverick
mutualism	, mutuality
biscuit	, cookie
diploma	to graduate; to attribute a to
cosmos	, universe
cosmos	outer space
mia	ewe lamb
orchestra	to orchestrate
alia	to ally
alia	to alloy
abur	steam, vapor
abur	thin fog
abur	a gentle breeze
agale	slowly
amurg	twilight
baban	large, plump
baban	barren (particularly for sheep in case of aging)
baci	a shepherd that operates a hut for his flock
bală	monster, beast, animal
bală	slobber, drool
baligă	dung (of cows, horses etc.)
baltă	puddle, pond, pool (especially muddy); also swamp
barză	stork
bârsă	standard, sheth (of a plough)
beregată	throat, larynx
beregată	Adam's apple
brânză	cheese
brânză	type of cheese
brâu	girdle, belt; thong
brâu	folk dance
broască	lock (for a door)
broască	prickly pear
buc	chaff
bufniță	a shrewish woman, harpy
bulz	unboiled lump of cankered cereals
bulz	clod, ball, lump
bunget	thicket, grove
burduf	leather hide bag
burduf	bladder bag, waterskin, wineskin; bag or sack made from an animal stomach, used to store liquid, flour, cheese, etc.;
burduf	cask-skin
burtă	belly
buză	edge of scar
buză	labia
caraban	stag beetle
căciulă	a fur cap
căpușă	castor oil plant, palm of Christ ().
căpușă	bud on a grapevine.
cătun	hamlet
cătun	small village, parish
cioc	knock, bang, used to imitate a repeated knock on a hard object or material
coclauri	deserted places, uninhabited places, distant places
coclauri	boondocks
copil	child
ciot	stump (part left over after it has been cut)
ciot	knot, nubble in a tree
ciot	stub or small piece in general
ciută	female deer, doe, hind
ciută	supple and usually young woman or girl
daltă	chisel
dâmb	knoll, small hill
doină	a class of Romanian folk songs, often melancholic and expressing sorrow, pain, longing, wistfulness or other such strong emotions
droaie	in great number
droaie	throng, crowd, multitude
droaie	gang, band
fărâmă	small piece
fărâmă	crumb
fluier	whistle; pipe (a sort of flute)
fluier	tibia, shinbone
fluiera	to whistle
fluture	butterfly
gard	fence
găti	to cook
găti	to dress up, get ready, adorn oneself
găti	to prepare (oneself, respectively something else)
ghimpe	thorn
ghimpe	needle (of pine tree)
ghimpe	eyesore
ghionoaie	woodpecker
ghionoaie	a shrew, scold
ghiuj	old man, gaffer, old fogey, buzzard
gorun	sessile oak ().
grapă	harrow
gresie	whetstone
groapă	hole (in the ground), pit, grave
grumaz	Adam's apple
gudura	to fawn
gudura	to fawn
hămesi	I starve
lai	black (or black mixed with white), gray
licări	to gleam; to sparkle
mazăre	peas ()
măgar	donkey, ass
măgar	jackass, jerk
măgură	hill, mount, hillock
măgură	funerary tumulus, mound
mălai	cornflour
mălai	millet flour
mălai	any cereal
mătrăgună	belladonna (the plant )
mătură	broom
mânz	foal, colt
mânzare	dairy lamb
mâță	piggy in the middle
melc	snail, slug
mișca	to move (a body part, an object)
mișca	to move
mișca	to move
moașă	midwife
moașă	old woman
molid	spruce tree
moș	an old man
moș	Santa Claus, Santa, Saint Nick, Kris Kringle, Santa Claus
motan	tomcat
motan	(epithet given to) a person who is uncommunicative, secretive, hypocritical.
murg	reddish-black
murg	ash-coloured
murg	generally, dark-coloured
mușca	to bite
urdă	a type of unripened whey cheese, similar to ricotta.
oare	Enhances the interrogative or dubitative value of a question.
olog	lame, crippled
pală	propeller blade
pală	the quantity of hay, straw, etc. a pitchfork can pick up
pală	the quantity of grass etc. a scythe can mow in one swing
prunc	infant; newborn; baby
pupăză	hoopoe
pupăză	garrulous person
rață	female duck
rață	urinal (the portable glass one offered in hospitals, due to its shape)
răbda	to endure
răbda	to bide
răbda	to have patience
