# Hebrew core vocabulary seed - Tier 1
# Format: canonical_surface<TAB>synset_id<TAB>pos<TAB>english_gloss<TAB>definition_he<TAB>synonyms(;)
# synset_id = allocated in concept space (1_000_000+ reserved for documents, 2_000_000+ for concepts)
# pos = noun | verb | adj | adv | pron | conj | prep | interj
# synonyms = Hebrew synonyms separated by ; (may reference other rows by canonical_surface)
#
# This is a SEED file (~300 words). Production Tier 1 = ~5000 words from Dicta/YAP.
# All surfaces are in CANONICAL form (after UNP normalize: niqud stripped, final-forms normalized).

# --- Pronouns ---
שניימ	2000181	noun	two	2	
שלושה	2000182	noun	three	3	
ארבעה	2000183	noun	four	4	
חמישה	2000184	noun	five	5	
עשרה	2000185	noun	ten	10	

# --- Common adjectives ---
גדול	2000200	adj	big	בעל ממדימ רבימ	ענק
קטנ	2000201	adj	small	בעל ממדימ מעטימ	זעיר
טוב	2000202	adj	good	חיובי	מצויינ
רע	2000203	adj	bad	שלילי	גרוע
חדש	2000204	adj	new	שנוצר לאחרונה	
ישנ	2000205	adj	old	בעל גיל רב	עתיק
יפה	2000206	adj	beautiful	נעימ למראה	
חכמ	2000207	adj	smart	בעל תבונה	נבונ
מהיר	2000208	adj	fast	במהירות גבוהה	זריז
איטי	2000209	adj	slow	במהירות נמוכה	

# --- Common verbs (infinitive root form) ---
אכל	2000220	verb	eat	להכניס מזונ לפה	
שתה	2000221	verb	drink	להכניס נוזל לפה	
ישנ	2000222	verb	sleep	להיות במנוחת תודעה	
קמ	2000223	verb	rise	לעבור ממנוחה לפעילות	
הלכ	2000224	verb	walk	להתקדמ ברגל	
רצ	2000225	verb	run	להתקדמ במהירות	
ראה	2000226	verb	see	לקלוט באמצעות העינ	
שמע	2000227	verb	hear	לקלוט באמצעות האוזנ	
דיבר	2000228	verb	speak	להשמיע מילימ	אמר
כתב	2000229	verb	write	לסמנ אותיות	
קרא	2000230	verb	read	לפענח טקסט	
למד	2000231	verb	learn	לרכוש ידע	
עשה	2000232	verb	do	לבצע פעולה	ביצע
נתנ	2000233	verb	give	להעביר לאחר	
לקח	2000234	verb	take	לקבל אליו	
אהב	2000235	verb	love	לרגוש חיבה	

# --- Synonym targets (words referenced as synonyms, made first-class) ---
אנוכי	2000300	pron	I (emphatic)	גוף ראשונ מודגש	אני
אנו	2000301	pron	we	גוף ראשונ רבימ	אנחנו
אב	2000302	noun	father	הורה זכר	אבא
אמ	2000303	noun	mother	הורה נקבה	אמא
הורה	2000304	noun	parent	אב או אמ	
בנ	2000305	noun	son	ילד זכר	ילד
בת	2000306	noun	daughter	ילדה נקבה	ילדה
ידיד	2000307	noun	friend	חבר קרוב	חבר;רע
רע	2000308	noun	companion	חבר או שכנ	חבר;ידיד
משכנ	2000309	noun	residence	מקומ מגורימ	בית;דירה
דירה	2000310	noun	apartment	יחידת מגורימ	בית;משכנ
ערש	2000311	noun	bed (poetic)	מיטה	מיטה
חתולה	2000312	noun	cat (f)	חתול נקבה	חתול
מושב	2000313	noun	seat	כיסא	כיסא
חצר	2000314	noun	yard	גינה חיצונית	גינה
פרדס	2000315	noun	orchard	גינת עצי פרי	גינה
עופ	2000316	noun	bird	ציפור	ציפור
אדמה	2000317	noun	earth	ארצ	ארצ
רקיע	2000318	noun	heavens	שמיימ	שמיימ
לבנה	2000319	noun	moon (poetic)	ירח	ירח
אוקיינוס	2000320	noun	ocean	ימ גדול	ימ
אמר	2000321	verb	say	דיבר	דיבר
ביצע	2000322	verb	execute	עשה	עשה
ענק	2000323	adj	giant	גדול מאוד	גדול
זעיר	2000324	adj	tiny	קטנ מאוד	קטנ
עתיק	2000325	adj	ancient	ישנ מאוד	ישנ
מצויינ	2000326	adj	excellent	טוב מאוד	טוב
גרוע	2000327	adj	awful	רע מאוד	רע
נבונ	2000328	adj	wise	חכמ	חכמ
זריז	2000329	adj	quick	מהיר	מהיר
ראשונ	2000330	noun	first	מספר אחד סידורי	אחד
יד	2000331	noun	hand	גפ	ידי
